,alpha=0,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9
channel=20,0.0257,0.0275,0.0267,0.0263,0.025,0.0232,0.0224,0.0223,0.0218,0.0215
channel=100,0.0857,0.08158,0.0747,0.0681,0.0627,0.0575,0.0526,0.0481,0.0446,0.0378
